Artista,Título,Año,URL
Sonia y Selena,Yo quiero bailar,2001,https://open.spotify.com/intl-es/track/4rFCPjKfgbEeNvs1Ku4nbd
La oreja de Van Gogh,Pop,2000,https://open.spotify.com/intl-es/track/4FXSEdmbbeGmPIQltH27C8
Rosalía,Reliquia,2025,https://open.spotify.com/intl-es/track/4ORvXsPK9AJmDzm36BYcdy
Beyonce (ft Jay-Z),Crazy in love,2003,https://open.spotify.com/intl-es/track/5IVuqXILoxVWvWEPm82Jxr
Kika Lorace,Chueca es genial,2015,https://open.spotify.com/intl-es/track/6uDMwVwSdnpTcmaB93NJfW
La Prohibida,Baloncesto,2017,https://open.spotify.com/intl-es/track/3kKZjk2p2j3O7iARjoxeam
"D'Nash",I love you mi vida,2007,https://open.spotify.com/intl-es/track/5gyRR6ktWPnqOPQg6A459n
Las supremas de Móstoles,Eres un enfermo,2005,https://open.spotify.com/intl-es/track/4djZPmkSgKugFofkBVrAia
David Civera,Dile que la quiero,2001,https://open.spotify.com/intl-es/track/7j8Wo5QDosh9vMgUGEC32q
Mónica Naranjo,Desátame,1997,https://open.spotify.com/intl-es/track/2a7Ufmq13NRMavrBYUN5Ex
Fangoria,No sé qué me das,2001,https://open.spotify.com/intl-es/track/4gP89Uk2gEVcmygi6ddRjf
Alaska y Los Pegamoides,Bailando,1982,https://open.spotify.com/intl-es/track/0OteyYh6inrfcil1XGwC3r
ABBA,Dancing queen,1976,https://open.spotify.com/intl-es/track/0GjEhVFGZW8afUYGChu3Rr
Gloria Gaynor,I Will Survive,1978,https://open.spotify.com/intl-es/track/7rIovIsXE6kMn629b7kDig
Bonnie Tyler,Holding out for a hero,1986,https://open.spotify.com/intl-es/track/5Hyr47BBGpvOfcykSCcaw9
Alcazar,Crying at the Discoteque,2001,https://open.spotify.com/intl-es/track/7gQAFGUyHPcY0cQNPsjMf0
Ojete Calor,Viejoven,2014,https://open.spotify.com/intl-es/track/01km0N5v4vhwqFyW4H1X0n
Bonnie M,Rasputin,1994,https://open.spotify.com/intl-es/track/5lWSa1rmuSL6OBPOnkAqoa
Lady Gaga,Dance in the dark,2009,https://open.spotify.com/intl-es/track/6Qh10T7u43YciJsJa99R3v
Las bistecs,HDA (Historia del arte),2016,https://open.spotify.com/intl-es/track/1ViUKZsdEDsRKIdOic4DyQ
Benny Benassi,Satisfaction,2002,https://open.spotify.com/intl-es/track/2mRNUz2RbAFf0AkPeQWelt
RuPaul,Supermodel (You Better Work),1993,https://open.spotify.com/intl-es/track/36Rpz4MZQhGknLEmTmHr8v
Madonna,Like a prayer,1989,https://open.spotify.com/intl-es/track/2v7ywbUzCgcVohHaKUcacV
Las Ketchup,Aserejé,2002,https://open.spotify.com/intl-es/track/6NG2IIXZfC5Notpz0GIODU
Kaoma,Lambada,1989,https://open.spotify.com/intl-es/track/6xepovPqjvrkEw9Y5AMmTm
Wendy Sulca · La tigresa del oriente · Delfín hasta el fin,En tus tierras bailaré,2011,https://open.spotify.com/intl-es/track/3MzUbe7HlO407gPtDAzSfd
Pleasure Man,Ding dong song,2005,https://open.spotify.com/intl-es/track/2LELFaNglE9B5xlcmd4qtQ
Hampton The Hamster,The HampsterDance Song,2000,https://open.spotify.com/intl-es/track/0ouSkB2t2fGeW60MPcvmXl
Cyndi Lauper,Girls Just Wanna Have Fun,1983,https://open.spotify.com/intl-es/track/4y1LsJpmMti1PfRQV9AWWe
Crystal Waters,Gypsy Woman (She's homeless) (La Da Dee Laa Da Da),1991,https://open.spotify.com/intl-es/track/1SShxVVBeZBCY7WddnksPz
Concha Velasco,Chica Ye Yé,1965,https://open.spotify.com/intl-es/track/5hv3nMY3NKyDL7cSsrSYog
Masiel,La La La,1966,https://open.spotify.com/intl-es/track/1ApXNkjfjxkSDoezO8Kh8g
Alexander Rybak,Fairytale,2009,https://open.spotify.com/intl-es/track/3MnAsEBBsEj86d03RgO4EM
JEDET,Pégate,2025,https://open.spotify.com/intl-es/track/3y1vPgwHA2R20efomVmD9F
Cher,Believe,1998,https://open.spotify.com/intl-es/track/2goLsvvODILDzeeiT4dAoR
Kylie Minogue,All the lovers,2010,https://open.spotify.com/intl-es/track/18JKvOJ3cXbGUePQWT3bLW
Samantha Hudson y Papá Topo,Por España,2021,https://open.spotify.com/intl-es/track/2MNeQJXD86Ymigan1DdUa9
Troye Sivan,Rush,2023,https://open.spotify.com/intl-es/track/4ZnkygoWLzcGbQYCm3lkae
Rina Sawayama,Comme des garçons (Like the boys),2020,https://open.spotify.com/intl-es/track/43bYs8QkPdCdy5esfnmU1T
SIA,Cheap thrills,2016,https://open.spotify.com/intl-es/track/27SdWb2rFzO6GWiYDBTD9j
Dead Or Alive,You spin me round (like a record),1985,https://open.spotify.com/intl-es/track/1ChulFMnwxoD74Me8eX2TU
Eurytmics,Sweet Dreams (Are Made of This),1983,https://open.spotify.com/intl-es/track/1TfqLAPs4K3s2rJMoCokcS
Dana International,Diva,1998,https://open.spotify.com/intl-es/track/1rqPSD8vhtf6jvw3uFTAsz
Vengaboys,Boom boom boom boom,1999,https://open.spotify.com/intl-es/track/5N6M8yDiMV32T6Rkzh8EbW
"Putilatex","Mira una moderna",2008,"https://open.spotify.com/intl-es/track/3ahmTHLm4msj0nujbrJgEg"
"Alberto Gambino","Purpurina",2019,"https://open.spotify.com/intl-es/track/4FrThBco0jLqXEMULUhSM9"
"Kika Lorace","Arriba, Maricón",2016,"https://open.spotify.com/intl-es/track/5Se4V4kXKd4GA9MGRYY310"
"September","Cry for you",2007,"https://open.spotify.com/intl-es/track/1mvZErZBp7WZT3HfGBykao"
"David Guetta ft. IVE","Supernova Love",2024,"https://open.spotify.com/intl-es/track/5sTLGx6c7YRwnrWm6O091n"
"Donna Summer","I feel love",1977,"https://open.spotify.com/intl-es/track/1vCBk33l9HaWp5FOnhSGxk"
"Elton John, Dua Lipa, PNAU","Cold Heart - PNAU Remix",2021,"https://open.spotify.com/intl-es/track/6JIC3hbC28JZKZ8AlAqX8h"
"Los Beatles","Let It Be",1970,"https://open.spotify.com/intl-es/track/7iN1s7xHE4ifF5povM6A48"
"Diana Ross","I'm Comming Out",1980,"https://open.spotify.com/intl-es/track/3SnGymj6ijE2iuUfWxLo1q"
"Chambao", "Y ahí estás tú", 2002, "https://open.spotify.com/intl-es/track/1dgFSrqG37FpmlZCmlKmP7"
"Billie Jean", "Michael Jackson", 1982, "https://open.spotify.com/intl-es/track/7J1uxwnxfQLu4APicE5Rnj"
"Lorna", "Papi chulo... te traigo el mmmm", 2003, "https://open.spotify.com/intl-es/track/6PRv5QDR843SgVpk4IqEit"
"Nena Daconte", "En qué estrella estará", 2005, "https://open.spotify.com/intl-es/track/1msphInQ8bBBQGFZkll7FX"
"Bad Gyal", "Da Me", 2025, "https://open.spotify.com/intl-es/track/4ppQIsBpwNRKjOPPBZTgd0"
"Channel", "SloMo", 2021, "https://open.spotify.com/intl-es/track/0T71AvVXY4RB65tvdIyzdO"
"Nicky Minaj", "Starships", 2012, "https://open.spotify.com/intl-es/track/2EBCVPNAG46nbgs6jXPGvv"